ship_city,ship_state,ship_postal_code
MUMBAI,MAHARASHTRA,400081.0
BENGALURU,KARNATAKA,560085.0
NAVI MUMBAI,MAHARASHTRA,410210.0
PUDUCHERRY,PUDUCHERRY,605008.0
CHENNAI,TAMIL NADU,600073.0
GHAZIABAD,UTTAR PRADESH,201102.0
CHANDIGARH,CHANDIGARH,160036.0
HYDERABAD,TELANGANA,500032.0
HYDERABAD,TELANGANA,500008.0
Chennai,TAMIL NADU,600041.0
CHENNAI,TAMIL NADU,600073.0
NOIDA,UTTAR PRADESH,201303.0
Amravati.,MAHARASHTRA,444606.0
MUMBAI,MAHARASHTRA,400053.0
MUMBAI,MAHARASHTRA,400053.0
GUNTAKAL,ANDHRA PRADESH,515801.0
JAIPUR,RAJASTHAN,302020.0
NEW DELHI,DELHI,110074.0
Gurgaon,HARYANA,122004.0
BENGALURU,KARNATAKA,560017.0
TIRUCHIRAPPALLI,TAMIL NADU,620018.0
BENGALURU,KARNATAKA,560040.0
HYDERABAD,TELANGANA,500072.0
pune,MAHARASHTRA,411044.0
TEZPUR,ASSAM,784001.0
RANCHI,JHARKHAND,834002.0
BILASPUR,CHHATTISGARH,495001.0
PUNE,MAHARASHTRA,411052.0
BENGALURU,KARNATAKA,560037.0
GUWAHATI,ASSAM,781003.0
THIRUVARUR,TAMIL NADU,613704.0
LUCKNOW,UTTAR PRADESH,226010.0
VISAKHAPATNAM,ANDHRA PRADESH,530016.0
JEYPUR,ODISHA,764001.0
HYDERABAD,TELANGANA,500028.0
LUCKNOW,UTTAR PRADESH,226016.0
CHENNAI,TAMIL NADU,600033.0
NEW DELHI,DELHI,110092.0
NEW DELHI,DELHI,110092.0
THIRUVANANTHAPURAM,KERALA,695011.0
GREATER NOIDA,UTTAR PRADESH,201306.0
JABALPUR,MADHYA PRADESH,482002.0
MUMBAI,MAHARASHTRA,400092.0
LUCKNOW,UTTAR PRADESH,226017.0
MUMBAI,MAHARASHTRA,400076.0
KOLKATA,WEST BENGAL,700014.0
ONGOLE,ANDHRA PRADESH,523001.0
SECUNDERABAD,TELANGANA,500017.0
HYDERABAD,TELANGANA,500062.0
KEWALPUR,UTTAR PRADESH,271881.0
CUTTACK,ODISHA,753012.0
BADLAPUR,MAHARASHTRA,421503.0
dimapur,NAGALAND,797112.0
BENGALURU,KARNATAKA,560047.0
BENGALURU,KARNATAKA,560076.0
WARANGAL,TELANGANA,506001.0
DHAULPUR,RAJASTHAN,328024.0
GUWAHATI,ASSAM,781029.0
Bengaluru,KARNATAKA,560103.0
HYDERABAD,TELANGANA,500072.0
BENGALURU,KARNATAKA,560023.0
NAGPUR,MAHARASHTRA,440022.0
NAGPUR,MAHARASHTRA,440022.0
GREATER NOIDA,UTTAR PRADESH,201306.0
THANE,MAHARASHTRA,400607.0
Dahod,Gujarat,389151.0
RANCHI,JHARKHAND,834004.0
PUNE,MAHARASHTRA,411014.0
BENGALURU,KARNATAKA,560040.0
VIJAPURA,KARNATAKA,586201.0
CHENNAI,TAMIL NADU,600041.0
MUMBAI,MAHARASHTRA,400080.0
bangalore,KARNATAKA,560001.0
BENGALURU,KARNATAKA,560098.0
BERHAMPUR,ODISHA,760002.0
HYDERABAD,TELANGANA,500085.0
PUNE,MAHARASHTRA,411045.0
TEZPUR,ASSAM,784001.0
HIMMATNAGAR,Gujarat,383001.0
Kolkata,WEST BENGAL,700048.0
Kolkata,WEST BENGAL,700048.0
Kolkata,WEST BENGAL,700048.0
HYDERABAD,TELANGANA,502032.0
DEHRADUN,UTTARAKHAND,248001.0
HYDERABAD,TELANGANA,500072.0
KOLKATA,WEST BENGAL,700078.0
DHARMAPURI,TAMIL NADU,636705.0
DEHRADUN,UTTARAKHAND,248005.0
JAIPUR,RAJASTHAN,303905.0
VADODARA,Gujarat,390019.0
CHAVAKKAD,KERALA,680506.0
PATNA,BIHAR,800026.0
CHENNAI,TAMIL NADU,600028.0
VADODARA,Gujarat,390018.0
VADODARA,Gujarat,390003.0
PUNE,MAHARASHTRA,411046.0
Jammu,JAMMU & KASHMIR,180011.0
bangalore,KARNATAKA,560026.0
NEW DELHI,DELHI,110036.0
NARNAUND,HARYANA,125039.0
Ahmedabad,Gujarat,380051.0
NEW DELHI,DELHI,110036.0
AMBARNATH,MAHARASHTRA,421502.0
